iter	Passed	Remaining
857	1658	274
858	1659	272
859	1660	270
860	1663	268
861	1665	266
862	1667	264
863	1669	262
864	1671	260
865	1673	258
866	1675	257
867	1677	255
868	1679	253
869	1680	251
870	1682	249
871	1683	247
872	1685	245
873	1686	243
874	1688	241
875	1689	239
876	1690	237
877	1693	235
878	1694	233
879	1696	231
880	1697	229
881	1698	227
882	1699	225
883	1701	223
884	1702	221
885	1703	219
886	1704	217
887	1705	215
888	1708	213
889	1710	211
890	1711	209
891	1713	207
892	1714	205
893	1717	203
894	1719	201
895	1720	199
896	1723	197
897	1725	195
898	1727	194
899	1728	192
900	1730	190
901	1731	188
902	1732	186
903	1734	184
904	1735	182
905	1736	180
906	1740	178
907	1742	176
908	1743	174
909	1744	172
910	1746	170
911	1747	168
912	1748	166
913	1749	164
914	1750	162
915	1752	160
916	1754	158
917	1756	156
918	1757	154
919	1759	152
920	1761	151
921	1762	149
922	1763	147
923	1764	145
924	1766	143
925	1769	141
926	1770	139
927	1771	137
928	1773	135
929	1774	133
930	1775	131
931	1776	129
932	1777	127
933	1779	125
934	1780	123
935	1781	121
936	1784	120
937	1786	118
938	1787	116
939	1788	114
940	1789	112
941	1791	110
942	1792	108
943	1793	106
944	1794	104
945	1796	102
946	1797	100
947	1799	98
948	1800	96
949	1802	94
950	1803	92
951	1804	90
952	1805	89
953	1807	87
954	1808	85
955	1809	83
956	1810	81
957	1812	79
958	1814	77
959	1815	75
960	1817	73
961	1818	71
962	1819	69
963	1820	67
964	1822	66
965	1823	64
966	1824	62
967	1825	60
968	1826	58
969	1829	56
970	1830	54
971	1832	52
972	1833	50
973	1834	48
974	1835	47
975	1837	45
976	1838	43
977	1839	41
978	1840	39
979	1842	37
980	1844	35
981	1846	33
982	1847	31
983	1848	30
984	1849	28
985	1851	26
986	1852	24
987	1853	22
988	1854	20
989	1856	18
990	1857	16
991	1859	14
992	1861	13
993	1862	11
994	1864	9
995	1865	7
996	1867	5
997	1868	3
998	1869	1
999	1871	0
